,momentum_baseline,equal_weight,model_walkforward,model_risk_managed,momentum_balanced,momentum_aggressive,buy_hold_SPY
2019-01-25,1.7111826270474448,1.461286882171917,2.165213780531788,1.7101165746497184,1.4812676678711245,1.7120338546557314,1.4609602265702724
2019-01-28,1.7111826270474448,1.461286882171917,2.165213780531788,1.7101165746497184,1.4812676678711245,1.7120338546557314,1.4498564390333954
2019-01-29,1.7111826270474448,1.461286882171917,2.165213780531788,1.7101165746497184,1.4812676678711245,1.7120338546557314,1.4479332214721794
2019-01-30,1.7111826270474448,1.461286882171917,2.165213780531788,1.7101165746497184,1.4812676678711245,1.7120338546557314,1.4708546268228484
2019-01-31,1.764582669285944,1.5028817359587239,2.2844182674647895,1.765726976137717,1.5175339585440073,1.7654604607393278,1.4837721212103074
2019-02-01,1.764582669285944,1.5028817359587239,2.2844182674647895,1.765726976137717,1.5175339585440073,1.7654604607393278,1.4844869801958624
2019-02-04,1.764582669285944,1.5028817359587239,2.2844182674647895,1.765726976137717,1.5175339585440073,1.7654604607393278,1.494930710861985
2019-02-05,1.764582669285944,1.5028817359587239,2.2844182674647895,1.765726976137717,1.5175339585440073,1.7654604607393278,1.5011970427806256
2019-02-06,1.764582669285944,1.5028817359587239,2.2844182674647895,1.765726976137717,1.5175339585440073,1.7654604607393278,1.4992184619908056
2019-02-07,1.7858178811217358,1.5141610359571465,2.2827392143475063,1.7597538647663635,1.52578537772497,1.786706236028895,1.4849268934177422
2019-02-08,1.7858178811217358,1.5141610359571465,2.2827392143475063,1.7597538647663635,1.52578537772497,1.786706236028895,1.486740787306259
2019-02-11,1.7858178811217358,1.5141610359571465,2.2827392143475063,1.7597538647663635,1.52578537772497,1.786706236028895,1.4875649699645133
2019-02-12,1.7858178811217358,1.5141610359571465,2.2827392143475063,1.7597538647663635,1.52578537772497,1.786706236028895,1.506694181193747
2019-02-13,1.7858178811217358,1.5141610359571465,2.2827392143475063,1.7597538647663635,1.52578537772497,1.786706236028895,1.511586438926784
2019-02-14,1.8483766865598537,1.54412347708244,2.3539874755672963,1.7935748908727045,1.5606581270899265,1.8492961613378487,1.508233503394458
2019-02-15,1.8483766865598537,1.54412347708244,2.3539874755672963,1.7935748908727045,1.5606581270899265,1.8492961613378487,1.5246687137345134
2019-02-19,1.8483766865598537,1.54412347708244,2.3539874755672963,1.7935748908727045,1.5606581270899265,1.8492961613378487,1.5273074449140551
2019-02-20,1.8483766865598537,1.54412347708244,2.3539874755672963,1.7935748908727045,1.5606581270899265,1.8492961613378487,1.5303859957965094
2019-02-21,1.8483766865598537,1.54412347708244,2.3539874755672963,1.7935748908727045,1.5606581270899265,1.8492961613378487,1.5249435659792212
2019-02-22,1.9495117649729148,1.577735259008235,2.447137472739502,1.8205603639049341,1.6179704306597826,1.9504815493844643,1.5343989881995896
2019-02-25,1.9495117649729148,1.577735259008235,2.447137472739502,1.8205603639049341,1.6179704306597826,1.9504815493844643,1.5364871732190108
2019-02-26,1.9495117649729148,1.577735259008235,2.447137472739502,1.8205603639049341,1.6179704306597826,1.9504815493844643,1.535387857759147
2019-02-27,1.9495117649729148,1.577735259008235,2.447137472739502,1.8205603639049341,1.6179704306597826,1.9504815493844643,1.5347282684832289
2019-02-28,1.9495117649729148,1.577735259008235,2.447137472739502,1.8205603639049341,1.6179704306597826,1.9504815493844643,1.5318700482875836
2019-03-01,1.9661892230326599,1.58092624397488,2.43528231954404,1.8181428739475134,1.6417065953267416,1.967167303643874,1.5414345136237497
2019-03-04,1.9661892230326599,1.58092624397488,2.43528231954404,1.8181428739475134,1.6417065953267416,1.967167303643874,1.5358275839430926
2019-03-05,1.9661892230326599,1.58092624397488,2.43528231954404,1.8181428739475134,1.6417065953267416,1.967167303643874,1.5337391183667697
2019-03-06,1.9661892230326599,1.58092624397488,2.43528231954404,1.8181428739475134,1.6417065953267416,1.967167303643874,1.5244490376804753
2019-03-07,1.9661892230326599,1.58092624397488,2.43528231954404,1.8181428739475134,1.6417065953267416,1.967167303643874,1.5116966042701883
2019-03-08,1.905006940392397,1.5423420262230578,2.4036890139503275,1.7709288138385626,1.5827801552160032,1.9059545858838884,1.5086732295784033
2019-03-11,1.905006940392397,1.5423420262230578,2.4036890139503275,1.7709288138385626,1.5827801552160032,1.9059545858838884,1.5305504956598783
2019-03-12,1.905006940392397,1.5423420262230578,2.4036890139503275,1.7709288138385626,1.5827801552160032,1.9059545858838884,1.5363221122418385
2019-03-13,1.905006940392397,1.5423420262230578,2.4036890139503275,1.7709288138385626,1.5827801552160032,1.9059545858838884,1.546491271220155
2019-03-14,1.905006940392397,1.5423420262230578,2.4036890139503275,1.7709288138385626,1.5827801552160032,1.9059545858838884,1.5455022146226631
2019-03-15,1.9796006577307792,1.5837766613914326,2.492340798215744,1.821335924365991,1.6111251157489526,1.9805854098586984,1.5531378512595788
2019-03-18,1.9796006577307792,1.5837766613914326,2.492340798215744,1.821335924365991,1.6111251157489526,1.9805854098586984,1.5587694699475863
2019-03-19,1.9796006577307792,1.5837766613914326,2.492340798215744,1.821335924365991,1.6111251157489526,1.9805854098586984,1.5591559838391744
2019-03-20,1.9796006577307792,1.5837766613914326,2.492340798215744,1.821335924365991,1.6111251157489526,1.9805854098586984,1.5544632955822202
2019-03-21,1.9796006577307792,1.5837766613914326,2.492340798215744,1.821335924365991,1.6111251157489526,1.9805854098586984,1.5720201724153087
2019-03-22,1.9771442180882914,1.5676595502883004,2.5320893590743676,1.8118638290993467,1.603686047206957,1.9781277482605826,1.5417645420591268
2019-03-25,1.9771442180882914,1.5676595502883004,2.5320893590743676,1.8118638290993467,1.603686047206957,1.9781277482605826,1.5406055614981664
2019-03-26,1.9771442180882914,1.5676595502883004,2.5320893590743676,1.8118638290993467,1.603686047206957,1.9781277482605826,1.552088661966154
2019-03-27,1.9771442180882914,1.5676595502883004,2.5320893590743676,1.8118638290993467,1.603686047206957,1.9781277482605826,1.5439727119135123
2019-03-28,1.9771442180882914,1.5676595502883004,2.5320893590743676,1.8118638290993467,1.603686047206957,1.9781277482605826,1.5498252224021318
2019-03-29,2.0302314999210647,1.5929999439098115,2.5947117971556457,1.8654846286988853,1.6480361463894975,2.0312414383558233,1.5595971128076282
2019-04-01,2.0302314999210647,1.5929999439098115,2.5947117971556457,1.8654846286988853,1.6480361463894975,2.0312414383558233,1.5780931071097046
2019-04-02,2.0302314999210647,1.5929999439098115,2.5947117971556457,1.8654846286988853,1.6480361463894975,2.0312414383558233,1.5788665089687495
2019-04-03,2.0302314999210647,1.5929999439098115,2.5947117971556457,1.8654846286988853,1.6480361463894975,2.0312414383558233,1.5813511208902855
2019-04-04,2.0302314999210647,1.5929999439098115,2.5947117971556457,1.8654846286988853,1.6480361463894975,2.0312414383558233,1.585546942874313
2019-04-05,2.088283393055362,1.6309627865728678,2.7071794307310455,1.9345851684026623,1.672738437786497,2.0893222093979307,1.593220735249861
2019-04-08,2.088283393055362,1.6309627865728678,2.7071794307310455,1.9345851684026623,1.672738437786497,2.0893222093979307,1.5944357336721962
2019-04-09,2.088283393055362,1.6309627865728678,2.7071794307310455,1.9345851684026623,1.672738437786497,2.0893222093979307,1.5862644203909504
2019-04-10,2.088283393055362,1.6309627865728678,2.7071794307310455,1.9345851684026623,1.672738437786497,2.0893222093979307,1.5916756148731817
2019-04-11,2.088283393055362,1.6309627865728678,2.7071794307310455,1.9345851684026623,1.672738437786497,2.0893222093979307,1.5912336442340227
2019-04-12,2.1319800887057303,1.6444225517767292,2.7924189263196637,1.9934674916012671,1.698993898591594,2.13304064196471,1.6019999218181433
2019-04-15,2.1319800887057303,1.6444225517767292,2.7924189263196637,1.9934674916012671,1.698993898591594,2.13304064196471,1.6009502649298823
2019-04-16,2.1319800887057303,1.6444225517767292,2.7924189263196637,1.9934674916012671,1.698993898591594,2.13304064196471,1.6019999218181433
2019-04-17,2.1319800887057303,1.6444225517767292,2.7924189263196637,1.9934674916012671,1.698993898591594,2.13304064196471,1.5980799807874633
2019-04-18,2.1319800887057303,1.6444225517767292,2.7924189263196637,1.9934674916012671,1.698993898591594,2.13304064196471,1.601226332921164
2019-04-22,2.137860657625088,1.632757438199819,2.782599850923571,2.005776295263561,1.702205712828503,2.138924136172425,1.6026068599155074
2019-04-23,2.137860657625088,1.632757438199819,2.782599850923571,2.005776295263561,1.702205712828503,2.138924136172425,1.617017197576961
2019-04-24,2.137860657625088,1.632757438199819,2.782599850923571,2.005776295263561,1.702205712828503,2.138924136172425,1.6134281266523633
2019-04-25,2.137860657625088,1.632757438199819,2.782599850923571,2.005776295263561,1.702205712828503,2.138924136172425,1.6124347681823785
2019-04-26,2.137860657625088,1.632757438199819,2.782599850923571,2.005776295263561,1.702205712828503,2.138924136172425,1.6199432190238527
2019-04-29,2.1710405532237007,1.6524301297587203,2.942256555295282,2.054076604405442,1.7245166829618745,2.1721205371064287,1.6224824460222549
2019-04-30,2.1710405532237007,1.6524301297587203,2.942256555295282,2.054076604405442,1.7245166829618745,2.1721205371064287,1.6233104629581658
2019-05-01,2.1710405532237007,1.6524301297587203,2.942256555295282,2.054076604405442,1.7245166829618745,2.1721205371064287,1.6111094173787044
2019-05-02,2.1710405532237007,1.6524301297587203,2.942256555295282,2.054076604405442,1.7245166829618745,2.1721205371064287,1.607631259949249
2019-05-03,2.1710405532237007,1.6524301297587203,2.942256555295282,2.054076604405442,1.7245166829618745,2.1721205371064287,1.6233665743385075
2019-05-06,2.138974462049933,1.655907201855796,3.0008285470362734,2.078551207925524,1.7166075365652613,2.1400384946591586,1.6166859533950098
2019-05-07,2.138974462049933,1.655907201855796,3.0008285470362734,2.078551207925524,1.7166075365652613,2.1400384946591586,1.589687214591802
2019-05-08,2.138974462049933,1.655907201855796,3.0008285470362734,2.078551207925524,1.7166075365652613,2.1400384946591586,1.587478483623613
2019-05-09,2.138974462049933,1.655907201855796,3.0008285470362734,2.078551207925524,1.7166075365652613,2.1400384946591586,1.5826757235422217
2019-05-10,2.138974462049933,1.655907201855796,3.0008285470362734,2.078551207925524,1.7166075365652613,2.1400384946591586,1.5906263320607896
2019-05-13,1.9493943420864672,1.5915705413342032,2.7581810790582457,1.9748417708164758,1.60291092562907,1.9503640680860153,1.550652958781141
2019-05-14,1.9493943420864672,1.5915705413342032,2.7581810790582457,1.9748417708164758,1.60291092562907,1.9503640680860153,1.5646764084751377
2019-05-15,1.9493943420864672,1.5915705413342032,2.7581810790582457,1.9748417708164758,1.60291092562907,1.9503640680860153,1.573841734859139
2019-05-16,1.9493943420864672,1.5915705413342032,2.7581810790582457,1.9748417708164758,1.60291092562907,1.9503640680860153,1.5884177881305352
2019-05-17,1.9493943420864672,1.5915705413342032,2.7581810790582457,1.9748417708164758,1.60291092562907,1.9503640680860153,1.5781484703383086
2019-05-20,1.925722057755955,1.603299598810544,2.7143144977569964,1.990306825911894,1.6197914963224338,1.926680007980285,1.5677135304551064
2019-05-21,1.925722057755955,1.603299598810544,2.7143144977569964,1.990306825911894,1.6197914963224338,1.926680007980285,1.5818478936442453
2019-05-22,1.925722057755955,1.603299598810544,2.7143144977569964,1.990306825911894,1.6197914963224338,1.926680007980285,1.576989022182512
2019-05-23,1.925722057755955,1.603299598810544,2.7143144977569964,1.990306825911894,1.6197914963224338,1.926680007980285,1.5577200000972597
2019-05-24,1.925722057755955,1.603299598810544,2.7143144977569964,1.990306825911894,1.6197914963224338,1.926680007980285,1.5612536142742863
2019-05-28,1.8518996628747897,1.5828476318887326,2.591321190929222,1.930310463507705,1.6030067266829062,1.852820890156963,1.5467332983073627
2019-05-29,1.8518996628747897,1.5828476318887326,2.591321190929222,1.930310463507705,1.6030067266829062,1.852820890156963,1.5363540957286335
2019-05-30,1.8518996628747897,1.5828476318887326,2.591321190929222,1.930310463507705,1.6030067266829062,1.852820890156963,1.5405503853074969
2019-05-31,1.8518996628747897,1.5828476318887326,2.591321190929222,1.930310463507705,1.6030067266829062,1.852820890156963,1.5197904838465623
2019-06-03,1.8518996628747897,1.5828476318887326,2.591321190929222,1.930310463507705,1.6030067266829062,1.852820890156963,1.5159259060444863
2019-06-04,1.8718945113446772,1.600450756868455,2.634803473635097,1.9519311625853044,1.6258176502266073,1.872825685062007,1.548831396337311
2019-06-05,1.8718945113446772,1.600450756868455,2.634803473635097,1.9519311625853044,1.6258176502266073,1.872825685062007,1.5622478144149763
2019-06-06,1.8718945113446772,1.600450756868455,2.634803473635097,1.9519311625853044,1.6258176502266073,1.872825685062007,1.572406405749995
2019-06-07,1.8718945113446772,1.600450756868455,2.634803473635097,1.9519311625853044,1.6258176502266073,1.872825685062007,1.5881411590254502
2019-06-10,1.8718945113446772,1.600450756868455,2.634803473635097,1.9519311625853044,1.6258176502266073,1.872825685062007,1.59542946621805
2019-06-11,1.9325913786909261,1.6390078597967825,2.730934807386138,2.0131676451287084,1.6651055207393548,1.9335527460581943,1.5950426717695603
2019-06-12,1.9325913786909261,1.6390078597967825,2.730934807386138,2.0131676451287084,1.6651055207393548,1.9335527460581943,1.592227563817811
2019-06-13,1.9325913786909261,1.6390078597967825,2.730934807386138,2.0131676451287084,1.6651055207393548,1.9335527460581943,1.5987968971902975
2019-06-14,1.9325913786909261,1.6390078597967825,2.730934807386138,2.0131676451287084,1.6651055207393548,1.9335527460581943,1.5970301368612678
2019-06-17,1.9325913786909261,1.6390078597967825,2.730934807386138,2.0131676451287084,1.6651055207393548,1.9335527460581943,1.5976378231103698
2019-06-18,1.9087880823803072,1.657970479381252,2.7957506070794507,2.054095891735482,1.663919584341163,1.909737608800462,1.6143670570834165
2019-06-19,1.9087880823803072,1.657970479381252,2.7957506070794507,2.054095891735482,1.663919584341163,1.909737608800462,1.6180107430848802
2019-06-20,1.9087880823803072,1.657970479381252,2.7957506070794507,2.054095891735482,1.663919584341163,1.909737608800462,1.633469615406988
2019-06-21,1.9087880823803072,1.657970479381252,2.7957506070794507,2.054095891735482,1.663919584341163,1.909737608800462,1.631094981790922
2019-06-24,1.9087880823803072,1.657970479381252,2.7957506070794507,2.054095891735482,1.663919584341163,1.909737608800462,1.6290981648024907
2019-06-25,1.893456845271786,1.6562111094203236,2.847096725229719,2.0757326099676088,1.6520795684348581,1.8943987451697395,1.6131202622122212
2019-06-26,1.893456845271786,1.6562111094203236,2.847096725229719,2.0757326099676088,1.6520795684348581,1.8943987451697395,1.611510800786083
2019-06-27,1.893456845271786,1.6562111094203236,2.847096725229719,2.0757326099676088,1.6520795684348581,1.8943987451697395,1.617225744873898
2019-06-28,1.893456845271786,1.6562111094203236,2.847096725229719,2.0757326099676088,1.6520795684348581,1.8943987451697395,1.62554743665446
2019-07-01,1.893456845271786,1.6562111094203236,2.847096725229719,2.0757326099676088,1.6520795684348581,1.8943987451697395,1.640304542646426
2019-07-02,1.9387463659049748,1.6925167847641804,2.9550540644579137,2.1303932122652065,1.684536123953541,1.939710795069951,1.644577050183587
2019-07-03,1.9387463659049748,1.6925167847641804,2.9550540644579137,2.1303932122652065,1.684536123953541,1.939710795069951,1.6577252558632185
2019-07-05,1.9387463659049748,1.6925167847641804,2.9550540644579137,2.1303932122652065,1.684536123953541,1.939710795069951,1.6558393523699295
2019-07-08,1.9387463659049748,1.6925167847641804,2.9550540644579137,2.1303932122652065,1.684536123953541,1.939710795069951,1.6467405179716335
2019-07-09,1.9387463659049748,1.6925167847641804,2.9550540644579137,2.1303932122652065,1.684536123953541,1.939710795069951,1.648793259302472
2019-07-10,1.9336488353183323,1.69987816496316,3.0151231021880314,2.1456466230821456,1.6924737194314063,1.934610728717283,1.656670735988661
2019-07-11,1.9336488353183323,1.69987816496316,3.0151231021880314,2.1456466230821456,1.6924737194314063,1.934610728717283,1.6605545786979878
